TF	target	importance
Slc17a6	Gad1	108.71201402646277
Aldh1l1	Aqp4	103.19557767793793
Rgs5	Fn1	96.31280669647896
Aqp4	Mlc1	94.35808438788513
Slco1a4	Klf4	93.77523015044017
Fn1	Rgs5	93.61918707552921
Mlc1	Aqp4	92.66517887054874
Ermn	Gjc3	90.63329735912944
Fn1	Slco1a4	88.12006354874757
Rgs5	Adora2a	85.82871737442738
Gjc3	Sgk1	84.0584579761407
Nos1	Fezf1	83.19976049614831
Mlc1	Cxcl14	82.46562597358871
Sgk1	Ermn	81.44384998139773
Gjc3	Ermn	81.31437652104326
Slco1a4	Fn1	79.83113576100915
Cd24a	Cckbr	79.28259586413995
Aqp4	Aldh1l1	77.88926179387751
Ermn	Opalin	77.80061427824856
Aldh1l1	Cxcl14	77.43595987870442
Aldh1l1	Mlc1	77.34574306800766
Traf4	Pdgfra	74.88170543348127
Slco1a4	Rgs5	74.79370625825445
Pdgfra	Traf4	74.27349863110729
Mlc1	Aldh1l1	73.38547767700854
Sgk1	Opalin	71.78843306883672
Sgk1	Gjc3	70.76261238161283
Ttyh2	Sox8	69.88878793755504
Ermn	Sgk1	67.28710320101219
Gad1	Slc17a6	66.8958796536621
Fn1	Klf4	66.19855922941495
Oprl1	Gabra1	64.9139005117843
Slc17a6	Cbln1	63.20625691054058
Cspg5	Pdgfra	62.63021152722461
Myh11	Lmod1	61.941452658492814
Syt4	Gabra1	61.41592098080532
Slco1a4	Sema3c	61.40656942903352
Oprl1	Syt4	60.40650991161973
Igf1r	Slco1a4	59.60965396029369
Lmod1	Myh11	59.28992610381696
Ndrg1	Ermn	58.179134037924314
Klf4	Fn1	57.078449547953824
Pak3	Esr1	56.62951178143897
Rgs5	Ace2	55.5507528771274
Pdgfra	Bmp7	54.55234592526878
Syt4	Oprl1	53.92913556630419
Irs4	Dgkk	53.505233070920845
Cxcl14	Aldh1l1	53.448920782517376
Sox8	Ttyh2	52.53947236881252
Sgk1	Ttyh2	52.41316546110858
Rgs5	Slco1a4	52.358265408472796
Igf1r	Fn1	52.35411524381146
Esr1	Coch	52.23881759417101
Prlr	Esr1	51.24201360019335
Gad1	Isl1	50.68344475857334
Rgs5	Myh11	50.31472127196641
Oprl1	Cpne5	50.124452719288584
Prlr	Irs4	49.92017581371241
Ermn	Ttyh2	49.39957491432592
Prlr	Calcr	49.29889050046259
Aqp4	Sox6	48.39621792081512
Sgk1	Ndrg1	48.23978525599679
Pak3	Syt4	48.12756369349284
