cell.type,coor.X,coor.Y
1,21,33
1,22,33
1,21,34
1,22,34
1,23,33
1,21,35
1,23,34
1,23,32
1,23,35
1,24,33
1,21,36
1,24,34
1,24,32
1,22,36
1,23,36
1,24,31
1,25,34
1,25,32
1,22,37
1,24,36
1,25,31
1,23,37
1,25,36
1,25,30
1,24,37
1,26,34
1,26,32
1,26,31
1,23,28
1,25,37
1,25,29
1,26,36
1,26,30
1,24,38
1,24,28
1,27,33
1,27,34
1,27,32
1,27,35
1,27,31
1,23,27
1,26,37
1,26,29
1,25,28
1,25,38
1,27,36
1,27,30
1,24,27
1,24,39
1,28,33
1,28,34
1,28,32
1,26,38
1,26,28
1,27,37
1,27,29
1,25,27
1,25,39
1,28,35
1,28,31
1,23,26
1,28,36
1,28,30
1,24,40
1,24,26
1,26,39
1,27,38
1,27,28
1,26,27
1,29,33
1,29,34
1,29,32
1,28,37
1,25,40
1,25,26
1,29,35
1,29,31
1,27,39
1,27,27
1,29,36
1,29,30
1,24,25
1,28,38
1,28,28
1,26,40
1,26,26
1,29,37
1,29,29
1,25,41
1,25,25
1,30,33
1,30,32
1,30,35
1,30,31
1,28,39
1,27,40
1,28,27
1,27,26
1,29,38
1,29,28
1,30,36
1,30,30
1,30,29
1,30,37
1,25,42
1,28,40
1,28,26
1,31,33
1,29,39
1,27,41
1,29,27
1,27,25
1,31,34
1,31,32
1,31,35
1,31,31
1,30,38
1,26,42
1,31,36
1,31,30
2,29,40
2,28,41
2,29,26
2,28,25
2,31,29
2,25,43
2,30,39
2,27,42
2,30,27
2,32,33
2,32,34
2,32,32
2,32,35
2,32,31
2,31,38
2,31,28
2,26,43
2,29,41
2,29,25
2,32,30
2,30,40
2,28,42
2,30,26
2,28,24
2,31,27
2,27,43
2,32,37
2,32,29
2,33,33
2,33,34
2,33,32
2,30,41
2,29,42
2,30,25
2,32,28
2,33,31
2,33,35
2,31,40
2,28,43
2,31,26
2,33,36
2,33,30
2,32,39
2,32,27
2,33,27
2,35,33
2,35,35
2,31,23
2,35,28
2,32,43
2,35,27
2,35,26
2,36,38
2,35,25
2,34,43
2,34,23
2,33,45
2,33,21
2,37,27
2,31,47
2,24,35
2,25,33
2,24,30
2,26,35
2,26,41
2,31,37
2,29,24
2,27,44
2,33,29
2,31,25
