,xcoord,ycoord
cell1,21,33
cell2,22,33
cell3,21,34
cell4,22,34
cell5,23,33
cell6,21,35
cell7,23,34
cell8,23,32
cell9,23,35
cell10,24,33
cell11,21,36
cell12,24,34
cell13,24,32
cell14,22,36
cell15,23,36
cell16,24,31
cell17,25,34
cell18,25,32
cell19,22,37
cell20,24,36
cell21,25,31
cell22,23,37
cell23,25,36
cell24,25,30
cell25,24,37
cell26,26,34
cell27,26,32
cell28,26,31
cell29,23,28
cell30,25,37
cell31,25,29
cell32,26,36
cell33,26,30
cell34,24,38
cell35,24,28
cell36,27,33
cell37,27,34
cell38,27,32
cell39,27,35
cell40,27,31
cell41,23,27
cell42,26,37
cell43,26,29
cell44,25,28
cell45,25,38
cell46,27,36
cell47,27,30
cell48,24,27
cell49,24,39
cell50,28,33
cell51,28,34
cell52,28,32
cell53,26,38
cell54,26,28
cell55,27,37
cell56,27,29
cell57,25,27
cell58,25,39
cell59,28,35
cell60,28,31
cell61,23,26
cell62,28,36
cell63,28,30
cell64,24,40
cell65,24,26
cell66,26,39
cell67,27,38
cell68,27,28
cell69,26,27
cell70,29,33
cell71,29,34
cell72,29,32
cell73,28,37
cell74,25,40
cell75,25,26
cell76,29,35
cell77,29,31
cell78,27,39
cell79,27,27
cell80,29,36
cell81,29,30
cell82,24,25
cell83,28,38
cell84,28,28
cell85,26,40
cell86,26,26
cell87,29,37
cell88,29,29
cell89,25,41
cell90,25,25
cell91,30,33
cell92,30,32
cell93,30,35
cell94,30,31
cell95,28,39
cell96,27,40
cell97,28,27
cell98,27,26
cell99,29,38
cell100,29,28
cell101,30,36
cell102,30,30
cell103,30,29
cell104,30,37
cell105,25,42
cell106,28,40
cell107,28,26
cell108,31,33
cell109,29,39
cell110,27,41
cell111,29,27
cell112,27,25
cell113,31,34
cell114,31,32
cell115,31,35
cell116,31,31
cell117,30,38
cell118,26,42
cell119,31,36
cell120,31,30
cell121,29,40
cell122,28,41
cell123,29,26
cell124,28,25
cell125,31,29
cell126,25,43
cell127,30,39
cell128,27,42
cell129,30,27
cell130,32,33
cell131,32,34
cell132,32,32
cell133,32,35
cell134,32,31
cell135,31,38
cell136,31,28
cell137,26,43
cell138,29,41
cell139,29,25
cell140,32,30
cell141,30,40
cell142,28,42
cell143,30,26
cell144,28,24
cell145,31,27
cell146,27,43
cell147,32,37
cell148,32,29
cell149,33,33
cell150,33,34
cell151,33,32
cell152,30,41
cell153,29,42
cell154,30,25
cell155,32,28
cell156,33,31
cell157,33,35
cell158,31,40
cell159,28,43
cell160,31,26
cell161,33,36
cell162,33,30
cell163,32,39
cell164,32,27
cell165,33,27
cell166,35,33
cell167,35,35
cell168,31,23
cell169,35,28
cell170,32,43
cell171,35,27
cell172,35,26
cell173,36,38
cell174,35,25
cell175,34,43
cell176,34,23
cell177,33,45
cell178,33,21
cell179,37,27
cell180,31,47
cell181,24,35
cell182,25,33
cell183,24,30
cell184,26,35
cell185,26,41
cell186,31,37
cell187,29,24
cell188,27,44
cell189,33,29
cell190,31,25
cell191,29,23
cell192,34,33
cell193,33,38
cell194,33,28
cell195,28,44
cell196,34,36
cell197,34,30
cell198,33,39
cell199,30,43
cell200,31,24
cell201,34,37
cell202,32,41
cell203,32,25
cell204,29,44
cell205,33,40
cell206,33,26
cell207,31,43
cell208,35,36
cell209,35,30
cell210,34,27
cell211,33,41
cell212,35,29
cell213,34,26
cell214,36,33
cell215,33,24
cell216,30,45
cell217,36,34
cell218,36,32
cell219,36,36
cell220,36,30
cell221,32,44
cell222,31,45
cell223,31,21
cell224,35,40
cell225,37,32
cell226,37,35
cell227,36,39
cell228,37,36
cell229,31,46
cell230,37,37
cell231,37,29
cell232,37,28
cell233,38,33
cell234,34,22
cell235,38,35
cell236,38,31
cell237,35,43
cell238,38,37
cell239,37,26
cell240,36,42
cell241,36,24
cell242,34,45
cell243,33,46
cell244,38,38
cell245,35,22
cell246,37,41
