,louvain
cell1,2
cell2,2
cell3,2
cell4,2
cell5,2
cell6,2
cell7,2
cell8,2
cell9,2
cell10,2
cell11,2
cell12,2
cell13,2
cell14,2
cell15,2
cell16,2
cell17,2
cell18,2
cell19,2
cell20,2
cell21,2
cell22,2
cell23,2
cell24,2
cell25,2
cell26,2
cell27,2
cell28,2
cell29,2
cell30,2
cell31,2
cell32,2
cell33,2
cell34,2
cell35,2
cell36,2
cell37,2
cell38,2
cell39,2
cell40,2
cell41,2
cell42,2
cell43,2
cell44,2
cell45,2
cell46,2
cell47,2
cell48,2
cell49,2
cell50,2
cell51,2
cell52,2
cell53,2
cell54,2
cell55,2
cell56,2
cell57,2
cell58,2
cell59,2
cell60,2
cell61,2
cell62,2
cell63,2
cell64,2
cell65,2
cell66,2
cell67,2
cell68,2
cell69,2
cell70,2
cell71,2
cell72,2
cell73,2
cell74,2
cell75,2
cell76,2
cell77,2
cell78,2
cell79,2
cell80,2
cell81,2
cell82,2
cell83,2
cell84,2
cell85,2
cell86,2
cell87,2
cell88,2
cell89,2
cell90,2
cell91,2
cell92,2
cell93,2
cell94,2
cell95,2
cell96,2
cell97,2
cell98,2
cell99,2
cell100,2
cell101,2
cell102,2
cell103,2
cell104,2
cell105,2
cell106,2
cell107,2
cell108,2
cell109,2
cell110,2
cell111,2
cell112,2
cell113,2
cell114,2
cell115,2
cell116,2
cell117,2
cell118,2
cell119,2
cell120,2
cell121,0
cell122,2
cell123,2
cell124,0
cell125,0
cell126,2
cell127,0
cell128,0
cell129,0
cell130,0
cell131,0
cell132,0
cell133,0
cell134,0
cell135,0
cell136,0
cell137,0
cell138,0
cell139,0
cell140,0
cell141,0
cell142,0
cell143,0
cell144,0
cell145,0
cell146,0
cell147,0
cell148,0
cell149,0
cell150,0
cell151,0
cell152,0
cell153,0
cell154,0
cell155,0
cell156,0
cell157,0
cell158,0
cell159,0
cell160,0
cell161,0
cell162,0
cell163,0
cell164,0
cell165,0
cell166,0
cell167,0
cell168,0
cell169,0
cell170,0
cell171,0
cell172,0
cell173,0
cell174,0
cell175,0
cell176,0
cell177,0
cell178,0
cell179,1
cell180,0
cell181,2
cell182,2
cell183,2
cell184,2
cell185,2
cell186,2
cell187,0
cell188,0
cell189,0
cell190,0
cell191,0
cell192,0
cell193,0
cell194,0
cell195,0
cell196,0
cell197,0
cell198,0
cell199,0
cell200,0
cell201,0
cell202,0
cell203,0
cell204,0
cell205,0
cell206,0
cell207,0
cell208,0
cell209,0
cell210,0
cell211,0
cell212,0
cell213,0
cell214,0
cell215,0
cell216,0
cell217,0
cell218,0
cell219,0
cell220,0
cell221,0
cell222,0
cell223,0
cell224,0
cell225,0
cell226,0
cell227,0
cell228,0
cell229,0
cell230,0
cell231,0
cell232,0
cell233,0
cell234,0
cell235,0
cell236,0
cell237,0
cell238,0
cell239,0
cell240,0
cell241,0
cell242,0
cell243,0
cell244,0
cell245,0
cell246,0
cell247,0
cell248,0
cell249,1
cell250,1
cell251,0
cell252,0
cell253,1
cell254,1
cell255,1
cell256,1
cell257,1
cell258,1
cell259,1
cell260,1
cell261,2
cell262,2
cell263,2
cell264,2
cell265,0
cell266,0
cell267,0
cell268,0
cell269,0
cell270,0
cell271,0
cell272,0
cell273,0
cell274,0
cell275,0
cell276,0
cell277,0
cell278,0
cell279,0
cell280,0
cell281,0
cell282,0
cell283,0
cell284,0
cell285,0
cell286,0
cell287,0
cell288,0
cell289,0
cell290,0
cell291,0
cell292,0
cell293,0
cell294,0
cell295,0
cell296,0
cell297,0
cell298,0
cell299,0
cell300,0
cell301,0
cell302,0
cell303,0
cell304,0
cell305,0
cell306,0
cell307,0
cell308,0
cell309,0
cell310,0
cell311,0
cell312,0
cell313,0
cell314,0
cell315,0
cell316,0
cell317,0
cell318,0
cell319,0
cell320,0
cell321,0
cell322,0
cell323,0
cell324,0
cell325,0
cell326,0
cell327,0
cell328,0
cell329,0
cell330,0
cell331,1
cell332,0
cell333,0
cell334,0
cell335,0
cell336,1
cell337,1
cell338,1
cell339,1
cell340,0
cell341,1
cell342,0
cell343,1
cell344,1
cell345,1
cell346,1
cell347,1
cell348,1
cell349,1
cell350,1
cell351,1
cell352,1
cell353,1
cell354,1
cell355,1
cell356,1
cell357,1
cell358,1
cell359,1
cell360,1
cell361,0
cell362,0
cell363,0
cell364,0
cell365,0
cell366,0
cell367,0
cell368,0
cell369,0
cell370,0
cell371,0
cell372,0
cell373,1
cell374,1
cell375,1
cell376,0
cell377,1
cell378,1
cell379,1
cell380,1
cell381,1
cell382,0
cell383,1
cell384,1
cell385,1
cell386,1
cell387,1
cell388,1
cell389,1
cell390,1
cell391,1
cell392,0
cell393,1
cell394,1
cell395,1
cell396,1
cell397,1
cell398,1
cell399,1
cell400,1
cell401,1
cell402,0
cell403,1
cell404,1
cell405,1
cell406,1
cell407,1
cell408,1
cell409,1
cell410,1
cell411,1
cell412,1
cell413,1
cell414,1
cell415,1
cell416,1
cell417,1
cell418,1
cell419,1
cell420,1
cell421,1
cell422,1
cell423,1
cell424,1
cell425,1
cell426,1
cell427,1
cell428,1
cell429,1
cell430,1
cell431,1
cell432,1
cell433,1
cell434,1
cell435,1
cell436,1
cell437,1
cell438,1
cell439,1
cell440,1
cell441,1
cell442,1
cell443,1
cell444,1
cell445,1
cell446,1
cell447,1
cell448,1
cell449,1
cell450,1
cell451,1
cell452,1
cell453,1
cell454,1
cell455,1
cell456,1
cell457,1
cell458,1
cell459,1
cell460,1
cell461,1
cell462,1
cell463,1
cell464,1
cell465,1
cell466,1
cell467,1
cell468,1
cell469,1
cell470,1
cell471,1
cell472,1
cell473,1
cell474,1
cell475,1
cell476,1
cell477,1
cell478,1
cell479,1
cell480,1
cell481,1
cell482,1
cell483,1
cell484,1
cell485,1
cell486,1
cell487,1
cell488,1
cell489,1
cell490,1
cell491,1
cell492,1
cell493,1
cell494,1
cell495,1
cell496,1
cell497,1
cell498,1
cell499,1
cell500,1
